id,district,street,house_number,metro_station,metro_distance_min,area_m2,living_area_m2,kitchen_area_m2,rooms,floor,total_floors,house_type,wall_material,year_built,repair,balcony,ceiling_height_m,bathroom_type,has_elevator,has_parking,has_furniture,heating_type,window_view,security,deal_type,seller_type,price_rub,price_per_m2,listing_date
1,Северный,Кирова,108,Автозаводская,24,77.7,43.5,19.0,1,3,14,Кирпичный,Кирпич,1965,Требует капремонта,Балкон + лоджия,2.96,Совмещенный,Да,Да,Да,Электрическое,Во двор,Да,Продажа,Застройщик,23968352,308473,2025-02-08
2,Приморский,Мира,141,Автозаводская,44,81.0,53.3,14.7,5,5,8,Деревянный,Кирпич,1981,Требует капремонта,Балкон,3.02,Раздельный,Нет,Нет,Нет,Электрическое,Смешанный,Нет,Продажа,Собственник,7858215,97015,2025-07-12
3,Октябрьский,Кирова,43,Парк Культуры,29,57.2,38.0,13.9,3,25,26,Кирпичный,Дерево,1994,Дизайнерский,Нет,3.38,2 санузла,Да,Нет,Нет,Газовое,На реку,Нет,Аренда,Собственник,13135064,229634,2025-05-01
4,Западный,Лесная,99,Парк Культуры,45,152.5,98.3,16.3,1,3,30,Панельный,Дерево,1997,Евроремонт,Балкон,3.02,2 санузла,Да,Нет,Да,Автономное,Смешанный,Да,Продажа,Агентство,36545100,239640,2026-04-02
5,Фрунзенский,Кирова,60,Спортивная,28,35.0,22.4,14.3,2,16,16,Панельный,Панель,1993,Косметический,Балкон,2.87,2 санузла,Да,Да,Нет,Автономное,Смешанный,Нет,Продажа,Собственник,8931195,255177,2026-01-03
6,Кировский,Кирова,101,Автозаводская,40,106.9,65.6,7.1,5,12,17,Блочный,Дерево,1964,Без ремонта,Балкон,3.31,Совмещенный,Да,Нет,Да,Центральное,Смешанный,Да,Продажа,Собственник,20279571,189706,2026-02-06
7,Советский,Победы,122,Автозаводская,14,97.0,71.8,15.4,1,5,22,Панельный,Дерево,2006,Дизайнерский,Балкон + лоджия,3.07,Раздельный,Нет,Да,Да,Центральное,Смешанный,Нет,Аренда,Застройщик,10567277,108941,2025-12-22
8,Московский,Советская,133,Парк Культуры,45,27.1,20.1,14.0,2,9,9,Кирпичный,Монолит,1961,Косметический,2 лоджии,2.98,2 санузла,Нет,Да,Да,Автономное,На парк,Да,Продажа,Застройщик,7282908,268742,2025-04-04
9,Ленинский,Лесная,90,Парк Культуры,17,123.4,92.3,18.4,4,12,19,Панельный,Панель,1982,Без ремонта,Балкон,3.04,Раздельный,Да,Нет,Да,Электрическое,На реку,Да,Аренда,Застройщик,31040036,251540,2025-12-19
10,Северный,Лесная,102,Заречная,13,111.5,79.9,7.0,4,13,15,Блочный,Кирпич,2019,Косметический,Балкон,2.66,Совмещенный,Да,Да,Нет,Автономное,На реку,Нет,Аренда,Собственник,33789852,303048,2025-12-07
11,Восточный,Пушкина,8,Проспект Мира,7,41.8,23.1,21.5,6,18,21,Кирпичный,Монолит,2025,Требует капремонта,Балкон,3.34,2 санузла,Нет,Нет,Нет,Автономное,Во двор,Нет,Аренда,Застройщик,11138655,266475,2026-03-21
12,Южный,Строителей,2,Спортивная,10,81.2,59.6,13.5,5,17,22,Кирпичный,Панель,2025,Дизайнерский,2 лоджии,2.52,2 санузла,Да,Да,Нет,Электрическое,Во двор,Да,Продажа,Собственник,16551483,203836,2026-03-27
13,Восточный,Лесная,71,Заречная,29,129.0,84.0,14.5,1,1,12,Деревянный,Газобетон,1999,Дизайнерский,2 лоджии,3.38,Совмещенный,Нет,Да,Нет,Автономное,На парк,Да,Аренда,Агентство,29743530,230570,2026-06-09
14,Южный,Советская,36,Заречная,8,115.3,73.3,8.6,3,2,14,Кирпичный,Кирпич,1977,Дизайнерский,Балкон + лоджия,3.14,Совмещенный,Да,Да,Нет,Электрическое,Смешанный,Нет,Продажа,Агентство,36467660,316285,2026-01-10
15,Октябрьский,Мира,29,Университет,2,122.2,67.7,14.4,4,2,14,Панельный,Кирпич,2007,Евроремонт,Лоджия,2.97,Совмещенный,Да,Нет,Да,Электрическое,Смешанный,Нет,Продажа,Застройщик,19173180,156900,2025-10-30
16,Фрунзенский,Мира,67,Автозаводская,12,91.3,56.2,9.7,6,19,20,Деревянный,Панель,2012,Без ремонта,Лоджия,2.57,Совмещенный,Нет,Да,Нет,Электрическое,Смешанный,Да,Продажа,Застройщик,27818470,304693,2025-01-18
17,Западный,Садовая,129,Спортивная,13,151.6,112.8,9.5,2,8,26,Монолитный,Монолит,1997,Без ремонта,Лоджия,2.77,Совмещенный,Да,Да,Да,Электрическое,На улицу,Нет,Продажа,Застройщик,35595983,234802,2025-07-30
18,Приморский,Пушкина,181,Спортивная,33,82.8,53.7,19.2,4,21,30,Блочный,Монолит,1997,Без ремонта,Балкон,2.69,Совмещенный,Да,Нет,Нет,Автономное,Во двор,Да,Аренда,Застройщик,20723763,250287,2025-08-24
19,Приморский,Молодежная,83,Университет,11,105.4,72.6,5.8,2,10,25,Панельный,Монолит,1992,Косметический,Лоджия,2.5,Совмещенный,Да,Нет,Нет,Центральное,На парк,Нет,Продажа,Собственник,19696098,186870,2026-01-08
20,Северный,Строителей,136,Спортивная,3,36.4,26.0,7.4,5,1,20,Монолитно-кирпичный,Газобетон,2008,Дизайнерский,Лоджия,2.77,2 санузла,Нет,Да,Нет,Автономное,Во двор,Нет,Продажа,Застройщик,2762614,75896,2025-08-27
21,Фрунзенский,Победы,27,Юбилейная,38,101.3,72.2,5.3,6,17,28,Блочный,Газобетон,1987,Без ремонта,Нет,2.53,2 санузла,Да,Нет,Нет,Центральное,На парк,Да,Продажа,Застройщик,9350597,92306,2025-05-17
22,Ленинский,Кирова,20,Заречная,16,125.4,80.9,18.8,3,3,20,Монолитно-кирпичный,Монолит,1984,Без ремонта,2 лоджии,3.17,2 санузла,Да,Да,Да,Газовое,Смешанный,Нет,Продажа,Собственник,16362944,130486,2026-04-17
23,Ленинский,Садовая,120,Автозаводская,44,90.1,67.1,6.7,2,2,19,Деревянный,Панель,2020,Евроремонт,Нет,3.14,Раздельный,Да,Нет,Нет,Центральное,На реку,Нет,Аренда,Агентство,13176764,146246,2025-10-20
24,Западный,Мира,181,Парк Культуры,24,34.1,19.4,17.7,3,4,10,Кирпичный,Дерево,1974,Дизайнерский,Балкон + лоджия,3.24,Совмещенный,Да,Да,Нет,Электрическое,На парк,Нет,Продажа,Агентство,7780528,228168,2026-06-05
25,Московский,Советская,65,Парк Культуры,26,67.0,48.1,5.0,3,7,15,Панельный,Дерево,1973,Дизайнерский,2 лоджии,3.33,Совмещенный,Нет,Нет,Нет,Центральное,Смешанный,Да,Продажа,Застройщик,21197728,316384,2025-01-13
26,Центральный,Университетская,103,Северная,21,151.2,90.7,9.5,5,11,13,Деревянный,Панель,1982,Без ремонта,Нет,2.84,2 санузла,Нет,Нет,Да,Газовое,На парк,Да,Продажа,Собственник,41229972,272685,2026-03-15
27,Октябрьский,Университетская,101,Автозаводская,17,70.7,43.1,17.6,6,14,19,Кирпичный,Панель,2009,Без ремонта,Балкон,2.71,2 санузла,Нет,Да,Нет,Газовое,На парк,Нет,Продажа,Застройщик,17106925,241965,2026-05-10
28,Московский,Кирова,99,Юбилейная,24,36.3,22.4,6.5,2,4,10,Монолитно-кирпичный,Газобетон,1991,Косметический,Балкон + лоджия,3.01,Раздельный,Нет,Да,Нет,Газовое,На реку,Нет,Продажа,Застройщик,10242698,282168,2025-01-21
29,Западный,Ленина,33,Площадь Ленина,16,109.6,79.2,8.7,3,17,20,Блочный,Дерево,2007,Требует капремонта,Балкон + лоджия,3.08,Совмещенный,Да,Нет,Нет,Электрическое,На улицу,Да,Продажа,Собственник,19157312,174793,2026-03-19
30,Советский,Ленина,166,Проспект Мира,6,152.0,105.5,16.0,4,2,8,Кирпичный,Монолит,1963,Требует капремонта,Балкон + лоджия,3.2,2 санузла,Да,Да,Да,Газовое,На реку,Да,Аренда,Агентство,10694416,70358,2025-08-27
31,Восточный,Ленина,106,Проспект Мира,21,24.2,15.9,21.9,3,10,11,Панельный,Кирпич,1989,Косметический,Балкон + лоджия,2.97,2 санузла,Нет,Да,Нет,Автономное,На парк,Нет,Продажа,Агентство,4709271,194598,2026-07-15
32,Западный,Пушкина,60,Заречная,19,121.7,75.8,11.7,1,3,5,Кирпичный,Монолит,2022,Евроремонт,Нет,2.68,2 санузла,Нет,Да,Да,Электрическое,На парк,Да,Продажа,Агентство,10670290,87677,2025-07-25
33,Московский,Мира,21,Спортивная,4,27.2,18.2,12.1,6,2,5,Монолитный,Панель,1981,Косметический,2 лоджии,2.9,2 санузла,Нет,Да,Нет,Электрическое,Смешанный,Нет,Аренда,Собственник,4708483,173106,2025-11-18
34,Кировский,Мира,13,Заречная,36,34.6,19.6,12.1,1,1,7,Кирпичный,Монолит,1984,Требует капремонта,Балкон + лоджия,2.82,Совмещенный,Нет,Нет,Нет,Центральное,На парк,Да,Аренда,Собственник,5869820,169648,2025-11-13
35,Западный,Лесная,184,Парк Культуры,5,87.1,61.9,6.1,2,2,16,Монолитный,Монолит,2001,Без ремонта,2 лоджии,2.75,2 санузла,Да,Да,Да,Центральное,На парк,Нет,Аренда,Агентство,14384652,165151,2025-02-14
36,Ленинский,Победы,153,Автозаводская,20,42.0,27.3,5.1,6,16,17,Деревянный,Панель,1977,Дизайнерский,Балкон,2.71,Совмещенный,Нет,Да,Да,Электрическое,На реку,Нет,Продажа,Агентство,9625896,229188,2025-11-24
37,Советский,Университетская,61,Северная,29,60.0,34.0,6.6,4,1,7,Монолитно-кирпичный,Кирпич,1980,Евроремонт,Лоджия,2.62,Раздельный,Нет,Нет,Нет,Газовое,На улицу,Нет,Продажа,Собственник,7883580,131393,2026-04-17
38,Октябрьский,Пушкина,167,Автозаводская,5,44.9,32.6,14.8,3,4,11,Монолитно-кирпичный,Дерево,2008,Без ремонта,Нет,3.39,Совмещенный,Нет,Да,Нет,Газовое,Во двор,Нет,Продажа,Собственник,6105008,135969,2026-06-04
39,Фрунзенский,Ленина,28,Южная,24,105.7,75.6,8.3,1,2,5,Монолитно-кирпичный,Газобетон,2023,Евроремонт,Балкон,2.66,Совмещенный,Нет,Нет,Да,Центральное,На улицу,Нет,Продажа,Застройщик,31398185,297050,2025-09-24
40,Восточный,Ленина,127,Северная,44,148.3,105.7,18.9,4,21,27,Блочный,Кирпич,2005,Дизайнерский,Нет,3.06,Раздельный,Да,Да,Да,Электрическое,Смешанный,Нет,Аренда,Застройщик,17578592,118534,2025-03-21
41,Фрунзенский,Пушкина,101,Юбилейная,27,153.6,94.1,14.6,3,7,13,Кирпичный,Кирпич,2011,Дизайнерский,Балкон,3.28,Раздельный,Да,Да,Нет,Газовое,На парк,Да,Продажа,Собственник,11485286,74774,2026-01-08
42,Приморский,Советская,42,Северная,40,43.4,30.9,11.7,5,5,5,Кирпичный,Кирпич,2005,Без ремонта,Балкон + лоджия,2.95,Раздельный,Да,Нет,Да,Центральное,На парк,Нет,Продажа,Застройщик,11425701,263265,2025-05-30
43,Ленинский,Гагарина,145,Университет,41,35.7,24.7,16.7,2,13,24,Панельный,Дерево,1986,Требует капремонта,Балкон,2.86,Раздельный,Нет,Да,Да,Автономное,На улицу,Да,Продажа,Застройщик,8311138,232805,2025-07-20
44,Кировский,Университетская,95,Заречная,20,40.0,26.8,14.4,6,11,30,Деревянный,Дерево,2011,Косметический,Нет,3.02,Совмещенный,Нет,Нет,Да,Электрическое,На реку,Нет,Продажа,Агентство,6031800,150795,2026-03-12
45,Северный,Лесная,81,Северная,33,33.1,20.6,11.2,4,4,16,Панельный,Кирпич,2023,Требует капремонта,Балкон + лоджия,2.54,2 санузла,Да,Да,Да,Центральное,На улицу,Да,Аренда,Агентство,8018574,242253,2025-05-14
